AUDIT_ID,AUDIT_CATEGORY,AUDIT_RESULT,DATA_SOURCE,RECORD_ID,PRIOR_ID,PRIOR_SCORE,NEWER_ID,NEWER_SCORE
25,MISSING,same,REFERENCE,2013,1171,,54,
26,MISSING,same,CUSTOMERS,1071,1172,,57,
26,MISSING,same,CUSTOMERS,1072,1172,,57,
26,MISSING,missing,CUSTOMERS_PQ,1071,unknown,,57,+NAME+DOB+ADDRESS
26,MISSING,missing,CUSTOMERS_PQ,1072,unknown,,57,+NAME+DOB+ADDRESS
26,MISSING,same,REFERENCE,2014,1172,,57,
27,MISSING,same,CUSTOMERS,1074,1173,,59,
27,MISSING,missing,CUSTOMERS_PQ,1073,unknown,,59,+NAME+DOB+ADDRESS
27,MISSING,same,CUSTOMERS,1073,1173,,59,
27,MISSING,missing,CUSTOMERS_PQ,1074,unknown,,59,+NAME+DOB+ADDRESS
28,MISSING,same,CUSTOMERS,1083,1201,,69,
28,MISSING,missing,CUSTOMERS_PQ,1083,unknown,,69,+NAME+DOB+ADDRESS
28,MISSING,missing,CUSTOMERS_PQ,1084,unknown,,69,+NAME+DOB+ADDRESS
28,MISSING,same,CUSTOMERS,1084,1201,,69,
29,MISSING,same,CUSTOMERS,1087,1221,,73,
29,MISSING,same,CUSTOMERS,1088,1221,,73,
29,MISSING,missing,CUSTOMERS_PQ,1088,unknown,,73,+NAME+DOB+PHONE+EMAIL
29,MISSING,missing,CUSTOMERS_PQ,1087,unknown,,73,+NAME+DOB+PHONE+EMAIL
30,MISSING,same,CUSTOMERS,1066,1161,,49,
30,MISSING,same,CUSTOMERS,1067,1161,,49,
30,MISSING,same,CUSTOMERS,1064,1161,,49,
30,MISSING,missing,CUSTOMERS_PQ,1067,unknown,,49,+NAME+ADDRESS
30,MISSING,same,CUSTOMERS,1063,1161,,49,
30,MISSING,same,CUSTOMERS,1068,1161,,49,
30,MISSING,missing,CUSTOMERS_PQ,1063,unknown,,49,+NAME+DOB
30,MISSING,same,CUSTOMERS,1065,1161,,49,
30,MISSING,missing,CUSTOMERS_PQ,1068,unknown,,49,+NAME+ADDRESS
30,MISSING,missing,CUSTOMERS_PQ,1064,unknown,,49,+NAME+DOB
31,MISSING,same,CUSTOMERS,1089,1231,,75,
31,MISSING,missing,CUSTOMERS_PQ,1089,unknown,,75,+NAME+DOB
32,MISSING,missing,CUSTOMERS_PQ,1085,unknown,,71,+NAME+DOB+PHONE+EMAIL
32,MISSING,same,CUSTOMERS,1085,1211,,71,
32,MISSING,missing,CUSTOMERS_PQ,1086,unknown,,71,+NAME+DOB+PHONE+EMAIL
32,MISSING,same,CUSTOMERS,1086,1211,,71,
33,MISSING,same,CUSTOMERS,1093,1251,,79,
33,MISSING,missing,CUSTOMERS_PQ,1094,unknown,,79,+NAME+DOB
33,MISSING,same,CUSTOMERS,1094,1251,,79,
33,MISSING,missing,CUSTOMERS_PQ,1093,unknown,,79,+NAME+DOB
34,MISSING,missing,CUSTOMERS_PQ,1076,unknown,,61,+NAME+DOB+ADDRESS
34,MISSING,same,CUSTOMERS,1075,1174,,61,
34,MISSING,missing,CUSTOMERS_PQ,1075,unknown,,61,+NAME+DOB+ADDRESS
34,MISSING,same,CUSTOMERS,1076,1174,,61,
35,MISSING,same,CUSTOMERS,1096,1261,,81,
35,MISSING,missing,CUSTOMERS_PQ,1096,unknown,,81,+NAME+DOB
35,MISSING,same,CUSTOMERS,1095,1261,,81,
35,MISSING,missing,CUSTOMERS_PQ,1095,unknown,,81,+NAME+DOB
36,MISSING,same,CUSTOMERS,1079,1181,,65,
36,MISSING,missing,CUSTOMERS_PQ,1079,unknown,,65,+NAME+DOB
36,MISSING,same,CUSTOMERS,1080,1181,,65,
36,MISSING,missing,CUSTOMERS_PQ,1080,unknown,,65,+NAME+DOB
37,MISSING,missing,CUSTOMERS_PQ,1077,unknown,,63,+NAME+DOB+ADDRESS
37,MISSING,same,CUSTOMERS,1077,1175,,63,
37,MISSING,missing,CUSTOMERS_PQ,1078,unknown,,63,+NAME+DOB+ADDRESS
37,MISSING,same,CUSTOMERS,1078,1175,,63,
38,MISSING,same,CUSTOMERS,1092,1241,,77,
38,MISSING,missing,CUSTOMERS_PQ,1092,unknown,,77,+NAME+DOB+PHONE+EMAIL
38,MISSING,same,CUSTOMERS,1091,1241,,77,
38,MISSING,missing,CUSTOMERS_PQ,1091,unknown,,77,+NAME+DOB+PHONE+EMAIL
39,MISSING,same,CUSTOMERS,1101,1291,,87,
39,MISSING,missing,CUSTOMERS_PQ,1102,unknown,,87,+NAME+EMAIL
39,MISSING,missing,CUSTOMERS_PQ,1101,unknown,,87,+NAME+EMAIL
39,MISSING,same,CUSTOMERS,1102,1291,,87,
40,MISSING,missing,CUSTOMERS_PQ,1099,unknown,,85,+NAME+ADDRESS+EMAIL
40,MISSING,same,CUSTOMERS,1100,1281,,85,
40,MISSING,same,CUSTOMERS,1099,1281,,85,
40,MISSING,missing,CUSTOMERS_PQ,1100,unknown,,85,+NAME+ADDRESS+EMAIL
41,MISSING,same,CUSTOMERS,1090,1232,,76,
41,MISSING,missing,CUSTOMERS_PQ,1090,unknown,,76,+NAME+DOB
42,MISSING,same,CUSTOMERS,1082,1191,,67,
42,MISSING,missing,CUSTOMERS_PQ,1082,unknown,,67,+NAME+DOB+ADDRESS
42,MISSING,same,CUSTOMERS,1081,1191,,67,
42,MISSING,missing,CUSTOMERS_PQ,1081,unknown,,67,+NAME+DOB+ADDRESS
43,MISSING,same,CUSTOMERS,1058,1132,,44,
43,MISSING,missing,CUSTOMERS_PQ,1058,unknown,,44,+NAME+EMAIL
44,MISSING,missing,WATCHLIST_PQ,2062,unknown,,95,+NAME+ADDRESS+PHONE
44,MISSING,missing,CUSTOMERS_PQ,2063,unknown,,95,+NAME+PHONE
44,MISSING,same,REFERENCE,2061,2061,,95,
44,MISSING,same,CUSTOMERS,2063,2061,,95,
44,MISSING,same,WATCHLIST,2062,2061,,95,
45,MISSING,missing,CUSTOMERS_PQ,1098,unknown,,83,+NAME+ADDRESS+EMAIL
45,MISSING,same,CUSTOMERS,1097,1271,,83,
45,MISSING,missing,CUSTOMERS_PQ,1097,unknown,,83,+NAME+ADDRESS+EMAIL
45,MISSING,same,CUSTOMERS,1098,1271,,83,
46,MISSING,same,CUSTOMERS,2182,2182,,103,
46,MISSING,missing,CUSTOMERS_PQ,2182,unknown,,103,+NAME+PHONE
47,MISSING,same,CUSTOMERS,2181,2181,,102,
47,MISSING,missing,CUSTOMERS_PQ,2181,unknown,,102,+NAME+PHONE
48,MISSING,missing,CUSTOMERS_PQ,2192,unknown,,105,+NAME+DOB+ADDRESS
48,MISSING,missing,CUSTOMERS_PQ,2193,unknown,,105,+NAME+DOB+ADDRESS
48,MISSING,same,CUSTOMERS,2193,2192,,105,
48,MISSING,same,CUSTOMERS,2192,2192,,105,
49,MISSING,same,CUSTOMERS,2031,2031,,91,
49,MISSING,same,CUSTOMERS,2032,2031,,91,
49,MISSING,missing,CUSTOMERS_PQ,2032,unknown,,91,+NAME+ADDRESS
50,MISSING,same,CUSTOMERS,2202,2202,,107,
50,MISSING,missing,CUSTOMERS_PQ,2202,unknown,,107,+NAME+ADDRESS
51,MISSING,same,CUSTOMERS,2206,2206,,112,
51,MISSING,missing,CUSTOMERS_PQ,2206,unknown,,112,+NAME+ADDRESS
52,MISSING,same,CUSTOMERS,2204,2204,,110,
52,MISSING,missing,CUSTOMERS_PQ,2204,unknown,,110,+NAME+ADDRESS
53,MISSING,same,CUSTOMERS,2201,2201,,108,
53,MISSING,missing,CUSTOMERS_PQ,2201,unknown,,108,+NAME+ADDRESS
54,MISSING,same,CUSTOMERS,2205,2205,,111,
54,MISSING,missing,CUSTOMERS_PQ,2205,unknown,,111,+NAME+ADDRESS
55,MISSING,same,CUSTOMERS,2210,2210,,116,
55,MISSING,missing,CUSTOMERS_PQ,2210,unknown,,116,+NAME+ADDRESS
56,MISSING,same,CUSTOMERS,2203,2203,,109,
56,MISSING,missing,CUSTOMERS_PQ,2203,unknown,,109,+NAME+ADDRESS
57,MISSING,same,CUSTOMERS,2209,2209,,115,
57,MISSING,missing,CUSTOMERS_PQ,2209,unknown,,115,+NAME+ADDRESS
58,MISSING,same,CUSTOMERS,2214,2214,,120,
58,MISSING,missing,CUSTOMERS_PQ,2214,unknown,,120,+NAME+ADDRESS
59,MISSING,same,CUSTOMERS,2191,2191,,104,
59,MISSING,missing,CUSTOMERS_PQ,2191,unknown,,104,+NAME+DOB+ADDRESS
60,MISSING,same,CUSTOMERS,2208,2208,,114,
60,MISSING,missing,CUSTOMERS_PQ,2208,unknown,,114,+NAME+ADDRESS
61,MISSING,same,REFERENCE,2091,2091,,100009,
61,MISSING,same,WATCHLIST,2092,2091,,100009,
61,MISSING,missing,WATCHLIST_PQ,2092,unknown,,100009,+NAME+EMPLOYER
62,MISSING,same,REFERENCE,2051,2051,,100013,
62,MISSING,same,WATCHLIST,2052,2051,,100013,
62,MISSING,missing,WATCHLIST_PQ,2052,unknown,,100013,+NAME+ADDRESS+PHONE
63,MISSING,same,REFERENCE,2081,2081,,100011,
63,MISSING,same,WATCHLIST,2082,2081,,100011,
63,MISSING,missing,WATCHLIST_PQ,2082,unknown,,100011,+NAME+ADDRESS+EMPLOYER
64,MISSING,same,CUSTOMERS,2212,2212,,118,
64,MISSING,missing,CUSTOMERS_PQ,2212,unknown,,118,+NAME+ADDRESS
65,MISSING,same,CUSTOMERS,2213,2207,,113,
65,MISSING,missing,CUSTOMERS_PQ,2207,unknown,,113,+NAME+ADDRESS
65,MISSING,same,CUSTOMERS,2207,2207,,113,
65,MISSING,missing,CUSTOMERS_PQ,2213,unknown,,113,+NAME+ADDRESS
66,MISSING,same,WATCHLIST,1008,1004,,200001,
66,MISSING,missing,WATCHLIST_PQ,1008,unknown,,200001,+NAME+EMAIL
67,MISSING,same,CUSTOMERS,2211,2211,,117,
67,MISSING,missing,CUSTOMERS_PQ,2211,unknown,,117,+NAME+ADDRESS
68,MISSING,same,WATCHLIST,1029,1042,,200012,
68,MISSING,missing,WATCHLIST_PQ,1029,unknown,,200012,+NAME+ADDRESS
69,MISSING,same,WATCHLIST,1042,1083,,200009,
69,MISSING,same,WATCHLIST,1041,1083,,200009,
69,MISSING,missing,WATCHLIST_PQ,1042,unknown,,200009,+NAME+ADDRESS
69,MISSING,missing,WATCHLIST_PQ,1041,unknown,,200009,+NAME+ADDRESS
70,MISSING,same,WATCHLIST,1007,1003,,200004,
70,MISSING,missing,WATCHLIST_PQ,1007,unknown,,200004,+NAME+ADDRESS+EMAIL
71,MISSING,same,WATCHLIST,1027,1034,,200010,
71,MISSING,missing,WATCHLIST_PQ,1027,unknown,,200010,+NAME+DOB
